iter	RMSE
558	0.1483979574
559	0.1483972407
560	0.1483880868
561	0.1483758421
562	0.1483751205
563	0.148373114
564	0.1483673467
565	0.1483432089
566	0.1483431903
567	0.1483341673
568	0.1483340105
569	0.1483155673
570	0.1483152282
571	0.1482956212
572	0.1482900737
573	0.1482705328
574	0.1482700864
575	0.1482535404
576	0.1482462176
577	0.1482407493
578	0.1482322279
579	0.1482269261
580	0.1482113842
581	0.1482006007
582	0.1481874184
583	0.1481698971
584	0.1481603074
585	0.1481595761
586	0.1481412309
587	0.148135604
588	0.1481284856
589	0.1481066551
590	0.148098519
591	0.1480983043
592	0.1480881156
593	0.1480839964
594	0.14808378
595	0.1480794646
596	0.1480792004
597	0.1480688202
598	0.1480641322
599	0.1480572186
600	0.148051809
601	0.1480512998
602	0.1480324879
603	0.1480208139
604	0.14801242
605	0.1480113709
606	0.1480104109
607	0.1479936908
608	0.1479832201
609	0.1479832043
610	0.1479723349
611	0.1479666113
612	0.1479581865
613	0.1479488983
614	0.1479466078
615	0.1479225317
616	0.1479145428
617	0.14790772
618	0.1478950718
619	0.1478672005
620	0.1478559873
621	0.1478557487
622	0.1478461337
623	0.1478300034
624	0.1478218629
625	0.1478095744
626	0.1478094077
627	0.1478035334
628	0.1477939594
629	0.1477937247
630	0.1477911631
631	0.1477751456
632	0.1477687403
633	0.1477641752
634	0.1477582285
635	0.1477501936
636	0.1477454836
637	0.1477366831
638	0.1477360727
639	0.1477298133
640	0.147714236
641	0.147713392
642	0.1477130656
643	0.1477125552
644	0.1477039623
645	0.1477005347
646	0.1476835187
647	0.1476774994
648	0.1476721011
649	0.1476680755
650	0.1476660537
651	0.1476627978
652	0.1476443191
653	0.1476430154
654	0.1476268425
655	0.1476248191
656	0.1476245231
657	0.1476133848
658	0.1476036765
659	0.1475776863
660	0.1475640388
661	0.147554719
662	0.1475436264
663	0.147541193
664	0.1475328477
665	0.1475258402
666	0.1475166367
667	0.1475129084
668	0.1475055148
669	0.1474995279
670	0.1474917661
671	0.1474854615
672	0.1474768654
673	0.1474728323
674	0.1474636777
675	0.1474426357
676	0.1474392219
677	0.1474299677
678	0.1474213834
679	0.1474144556
680	0.1474115718
681	0.1474064615
682	0.1474023094
683	0.1473825337
684	0.1473752223
685	0.147371465
686	0.1473666256
687	0.1473662797
688	0.1473518802
689	0.1473418861
690	0.1473224952
691	0.1473150398
692	0.1472986146
693	0.1472922529
694	0.1472809862
695	0.1472730237
696	0.1472729318
697	0.1472708896
698	0.1472532423
699	0.1472529728
700	0.1472440429
701	0.1472428682
702	0.1472359927
703	0.1472327424
704	0.1472233089
705	0.1472200583
706	0.1472000157
707	0.1471939858
708	0.1471855598
709	0.1471733328
710	0.1471719214
711	0.1471676416
712	0.1471456696
713	0.1471444547
714	0.1471366213
715	0.147127954
716	0.1471271386
717	0.1471245059
718	0.1471224925
719	0.1471100562
720	0.1471011734
721	0.1470823746
722	0.1470733736
723	0.1470680302
724	0.1470583959
725	0.1470582761
726	0.1470577642
727	0.1470501114
728	0.1470367578
729	0.1470302873
730	0.1470216205
731	0.1470214361
732	0.1470195772
733	0.1470076589
734	0.1470002363
735	0.1469999575
736	0.1469916518
737	0.1469913333
738	0.1469911245
739	0.1469754274
740	0.1469654627
741	0.1469542176
742	0.1469494505
743	0.1469494319
744	0.1469408321
745	0.1469382339
746	0.1469382171
747	0.1469367831
748	0.1469288879
749	0.1469106412
750	0.1469064516
751	0.1469018765
752	0.1469018633
753	0.1468971861
754	0.1468829885
755	0.1468674745
756	0.1468656485
757	0.1468533993
758	0.1468441373
759	0.1468402593
760	0.1468398302
761	0.1468294386
762	0.1468281681
763	0.1468199824
764	0.1468188003
765	0.1468103401
766	0.1468085287
767	0.1468076988
768	0.1468055721
769	0.1467882817
770	0.146780101
771	0.1467720654
772	0.1467640909
773	0.1467592756
774	0.1467443911
775	0.1467416493
776	0.1467366612
777	0.1467348015
778	0.1467345761
779	0.1467281715
780	0.1467191111
781	0.1466916815
782	0.1466884547
783	0.1466796403
784	0.1466756233
785	0.1466657787
786	0.1466655548
787	0.1466571301
788	0.1466532242
789	0.1466455489
790	0.1466350874
791	0.1466268156
792	0.1466014892
793	0.1465804164
794	0.1465796803
795	0.1465718925
796	0.1465689772
797	0.1465646251
798	0.1465628823
799	0.1465624662
800	0.1465624582
801	0.1465356747
802	0.1465284469
803	0.1465103803
804	0.1465028255
805	0.146486348
806	0.1464863238
807	0.1464783282
808	0.1464736032
809	0.1464690146
810	0.1464655029
811	0.146462198
812	0.1464558005
813	0.1464514099
814	0.1464404452
815	0.1464279404
816	0.1464033686
817	0.1463915083
818	0.1463843204
819	0.1463780939
820	0.1463665244
821	0.1463658446
822	0.1463555285
823	0.1463491417
824	0.1463355786
825	0.1463282102
826	0.1463260587
827	0.1463223632
828	0.1463166621
829	0.146305287
830	0.1463015169
831	0.146298232
832	0.1462928214
833	0.1462879233
834	0.1462854529
835	0.1462764359
836	0.1462568649
837	0.1462388896
838	0.1462387346
839	0.1462308028
840	0.1462223771
841	0.146200772
842	0.1461856817
843	0.1461840402
844	0.146183346
845	0.1461678274
846	0.146163341
847	0.1461537503
848	0.1461485986
849	0.1461381664
850	0.1461190775
851	0.14611596
852	0.1461132969
853	0.1461015134
854	0.1461013327
855	0.1460978346
856	0.1460904396
857	0.1460756557
858	0.1460723584
859	0.1460635715
860	0.146047237
861	0.1460353979
862	0.146030669
863	0.1460232606
864	0.1460200451
865	0.1460153632
866	0.1460053073
867	0.1459895346
868	0.1459633468
869	0.1459593933
870	0.1459528311
871	0.1459522084
872	0.1459405955
873	0.1459323358
874	0.1459225174
875	0.1459182164
876	0.1459074895
877	0.1458942783
878	0.1458733016
879	0.1458661865
880	0.1458616433
881	0.1458552884
882	0.1458326347
883	0.1458311925
884	0.1458184091
885	0.1458134409
886	0.1457990199
887	0.1457910923
888	0.145786984
889	0.1457811846
890	0.1457810473
891	0.1457707225
892	0.1457698257
893	0.1457588086
894	0.145758746
895	0.1457520089
896	0.1457519927
897	0.1457500078
898	0.1457480301
899	0.1457448241
900	0.1457385435
901	0.1457362744
902	0.1457280949
903	0.1457221277
904	0.145713862
905	0.1456989966
906	0.1456959884
907	0.1456749375
908	0.1456727575
909	0.1456397751
910	0.1456287893
911	0.1456205589
912	0.145607992
913	0.1455974529
914	0.1455916311
915	0.14558736
916	0.1455740458
917	0.1455712408
918	0.1455663406
919	0.1455552676
920	0.1455491858
921	0.1455414192
922	0.1455358657
923	0.1455222454
924	0.1455139941
925	0.1454947388
926	0.1454838711
927	0.1454818535
928	0.1454781024
929	0.1454705316
930	0.1454668922
931	0.1454527971
932	0.145446496
933	0.1454424888
934	0.1454317775
935	0.1454297191
936	0.1454289133
937	0.1454144643
938	0.145402308
939	0.1453926301
940	0.1453881509
941	0.1453850843
942	0.1453802656
943	0.1453743591
944	0.1453611774
945	0.1453547661
946	0.1453445177
947	0.1453273099
948	0.1453192032
949	0.145312928
950	0.1453119035
951	0.1453052536
952	0.1453033357
953	0.1452972674
954	0.1452806428
955	0.1452754069
956	0.1452525091
957	0.1452470369
958	0.1452457834
959	0.1452401921
960	0.1452122549
961	0.145200737
962	0.1451947313
963	0.1451776616
964	0.1451711567
965	0.1451637837
966	0.1451594615
967	0.1451500646
968	0.145144256
969	0.1451331747
970	0.1451296108
971	0.1451255541
972	0.1451087164
973	0.1450959015
974	0.1450852677
975	0.1450714421
976	0.1450710916
977	0.1450616489
978	0.145057199
979	0.1450474492
980	0.145047025
981	0.1450369099
982	0.1450194525
983	0.1449988812
984	0.1449934601
985	0.1449788366
986	0.1449684081
987	0.1449643543
988	0.1449441429
989	0.1449291628
990	0.1449208106
991	0.1449196571
992	0.1449195398
993	0.1449191545
994	0.1449008694
995	0.1448867795
996	0.1448698303
997	0.1448627168
998	0.1448491272
999	0.1448376177
